model,degradation,severity,imageCount,inferenceSeconds,map,ap50,ap75,ar100,smallAP,mediumAP,largeAP,smallAR,mediumAR,largeAR,missed,falsePositive,classification,localisation,cleanMap,absoluteDrop,retention
transformer,blur,0,500,571.9373124581762,0.497846974978098,0.6592795012795544,0.5477228067237728,0.6028001546993287,0.19936231457464162,0.4258481345545362,0.617770557798055,0.2749217065470935,0.5255494109538436,0.7035254406569809,152,6405,97,172,0.497846974978098,0.0,1.0
transformer,blur,1,500,371.26911562494934,0.487256316781097,0.6488416919887631,0.5353112871332665,0.59647233153146,0.19290974252699736,0.406043322174513,0.6116720623428743,0.2567487849840791,0.509008930227648,0.7034387428873012,178,7010,95,165,0.497846974978098,0.010590658197001002,0.9787270813537294
transformer,blur,2,500,371.3574576249812,0.4065516305720038,0.5604546596655215,0.43532843168445207,0.5171526916313811,0.12131170447609496,0.3232831873030383,0.534057119117875,0.16977118068836333,0.4295167686782962,0.6400523877835701,318,6396,148,166,0.497846974978098,0.09129534440609421,0.8166196662938233
transformer,blur,3,500,390.2287008340936,0.30765117670672,0.427301710441989,0.3223250711997302,0.4102496653418233,0.04296729819629353,0.2220509069154513,0.42857872796807833,0.06153373429689219,0.29342779925949924,0.5392163820767439,553,5830,200,152,0.497846974978098,0.190195798271378,0.6179633344568471
transformer,blur,4,500,379.2413317919709,0.2376925850390573,0.341121584441811,0.2538305269527608,0.33499588030797,0.028284190777812985,0.16137139950887308,0.340340657361171,0.03527010163039574,0.2201846076893307,0.45797089408520336,687,6018,264,149,0.497846974978098,0.2601543899390407,0.4774410551545768
transformer,blur,5,500,357.15403908281587,0.14793755319847665,0.22156322228499387,0.15479157858546244,0.22539236886722988,0.006150016693853106,0.0852476655404306,0.2297689078943584,0.008265445066915653,0.12500734824111312,0.3320696651971323,930,5585,304,130,0.497846974978098,0.34990942177962137,0.29715466927359546
transformer,lowlight,0,500,571.9373124581762,0.497846974978098,0.6592795012795544,0.5477228067237728,0.6028001546993287,0.19936231457464162,0.4258481345545362,0.617770557798055,0.2749217065470935,0.5255494109538436,0.7035254406569809,152,6405,97,172,0.497846974978098,0.0,1.0
transformer,lowlight,1,500,592.9875332501251,0.4825187104966961,0.637800242120116,0.526543261862972,0.5841247785842013,0.16823074275998548,0.410355930867607,0.6078137580441508,0.24247770540146701,0.4985008381173055,0.6902993062285439,205,5887,96,169,0.497846974978098,0.015328264481401899,0.9692108915956028
transformer,lowlight,2,500,611.8670823341236,0.4554808394089642,0.6083895621375186,0.49090045465770854,0.5564948366054263,0.15452910527866492,0.36554761089320553,0.5826176921869486,0.22471213470052478,0.4525476941049821,0.6629227112591858,271,5431,109,161,0.497846974978098,0.04236613556913377,0.914901289555897
transformer,lowlight,3,500,631.4335719998926,0.40324328562502104,0.5508950331485409,0.43348945039340975,0.4986959481553243,0.1294170623934871,0.3310770732858203,0.511722265634036,0.18699693932085573,0.4169402571127725,0.6039979030411596,397,5147,120,156,0.497846974978098,0.09460368935307695,0.8099743613843613
